Taxonomy,Source,Content Distribution,Industry,Use-Case,Content Maturity,Content Type,Operations,Software,Team,Editions
Child,Github neo-technology-field,EMEA PS only,Banking,Fraud-Detection,Initial drafts,Best Practice,Application Infrastructure,External Software,Profession Services,Enterprise Managed
Child,support.neo4j.com,PS only,Insurance,Data-Aggregation,WIP,How To,Backup/Restore,Neo4j Software,Customer Success,Enterprise
Child,Google Drive - AuraDB Enterprise,Neo4j,Pharmaceuticals,Dashboarding,Complete,Solution Overview,Caching,,Sales,Community
Child,Google Drive - Customer Knowledge Repository,Public,Defence,Improving Operation Efficiency,,Solution Assessment,Composite Databases,,Pre-Sales,AuraDS Professional
Child,Google Drive - Emea Services,,Construction,Academic Research,,Knowledge Base Manual,Data Loading,,,AuraDS Enterprise
Child,Google Drive - Field Team,,Retail,,,Client Training Material,Data Modelling,,,AuraDB Professional
Child,,,,,,Demo,Data Science,,,AuraDB Free
Child,,,,,,Customer Story,Database Configuration,,,AuraDB Enterprise
Child,,,,,,Sales Enablement,Database Managment,,,
Child,,,,,,Solution Assessment Inventory,Database Object Mapping,,,
Child,,,,,,Solution Assessment Template,Development,,,
Child,,,,,,Issue & Solution,"GenAI, LLMs and Vector Embeddings",,,
Child,,,,,,Other,Health Check,,,
Child,,,,,,,Import/Export,,,
Child,,,,,,,Indexes,,,
Child,,,,,,,Installation,,,
Child,,,,,,,Logging,,,
Child,,,,,,,Monitoring,,,
Child,,,,,,,Neo4j Version Upgrade,,,
Child,,,,,,,Performance Diagnostics,,,
Child,,,,,,,Querying,,,
Child,,,,,,,Testing,,,
Child,,,,,,,Tuning,,,
Child,,,,,,,Visualisation,,,